Última Atualização,Submercado,Carga_Verificada,Dia,Mês,Ano,Hora,Minuto
19/03/2021 13:13,SE,"45816,0",19,3,2021,13:16,
19/03/2021 13:13,S,"14162,1",19,3,2021,13:16,
19/03/2021 13:28,N,"5410,7",19,3,2021,13:30,
19/03/2021 13:28,NE,"11720,6",19,3,2021,13:30,
19/03/2021 13:28,SE,"46206,2",19,3,2021,13:30,
19/03/2021 13:28,S,"14425,4",19,3,2021,13:30,
19/03/2021 13:43,N,"5532,9",19,3,2021,13:45,
19/03/2021 13:43,NE,"11771,1",19,3,2021,13:45,
19/03/2021 13:43,SE,"46625,9",19,3,2021,13:45,
19/03/2021 13:43,S,"14801,9",19,3,2021,13:45,
,N,{{norte_verificada}},19,3,2021,14:00,
,NE,{{nordeste_verificada}},19,3,2021,14:00,
,SE,{{sudeste_verificada}},19,3,2021,14:00,
,S,{{sul_verificada}},19,3,2021,14:00,
19/03/2021 14:13,N,"5747,8",19,3,2021,14:15,
19/03/2021 14:13,NE,"11911,1",19,3,2021,14:15,
19/03/2021 14:13,SE,"46828,7",19,3,2021,14:15,
19/03/2021 14:13,S,"15106,3",19,3,2021,14:15,
19/03/2021 14:28,N,"5813,7",19,3,2021,14:30,
19/03/2021 14:28,NE,"11956,5",19,3,2021,14:30,
19/03/2021 14:28,SE,"46919,4",19,3,2021,14:30,
19/03/2021 14:28,S,"15058,9",19,3,2021,14:30,
19/03/2021 14:43,N,"5904,4",19,3,2021,14:45,
19/03/2021 14:43,NE,"11953,8",19,3,2021,14:45,
19/03/2021 14:43,SE,"46831,6",19,3,2021,14:45,
19/03/2021 14:43,S,"15132,1",19,3,2021,14:45,
19/03/2021 14:58,N,"5889,3",19,3,2021,15:00,
19/03/2021 14:58,NE,"11968,3",19,3,2021,15:00,
19/03/2021 14:58,SE,"46961,1",19,3,2021,15:00,
19/03/2021 14:58,S,"15189,2",19,3,2021,15:00,
19/03/2021 15:13,N,"5899,8",19,3,2021,15:15,
19/03/2021 15:13,NE,"11919,9",19,3,2021,15:15,
19/03/2021 15:13,SE,"46833,6",19,3,2021,15:15,
19/03/2021 15:13,S,"15168,2",19,3,2021,15:15,
19/03/2021 15:28,N,"5924,9",19,3,2021,15:30,
19/03/2021 15:28,NE,"11907,7",19,3,2021,15:30,
